image_path,label
image00000.jpg,0
image00001.jpg,0
image00002.jpg,0
image00003.jpg,0
image00004.jpg,0
image00005.jpg,0
image00006.jpg,0
image00007.jpg,0
image00008.jpg,0
image00009.jpg,0
image00010.jpg,0
image00011.jpg,0
image00012.jpg,0
image00013.jpg,0
image00014.jpg,0
image00015.jpg,0
image00016.jpg,0
image00017.jpg,0
image00018.jpg,0
image00019.jpg,0
image00020.jpg,0
image00021.jpg,0
image00022.jpg,0
image00023.jpg,0
image00024.jpg,0
image00025.jpg,0
image00026.jpg,0
image00027.jpg,0
image00028.jpg,0
image00029.jpg,0
image00030.jpg,0
image00031.jpg,0
image00032.jpg,0
image00033.jpg,0
image00034.jpg,0
image00035.jpg,0
image00036.jpg,0
image00037.jpg,0
image00038.jpg,0
image00039.jpg,0
image00040.jpg,0
image00041.jpg,0
image00042.jpg,0
image00043.jpg,0
image00044.jpg,0
image00045.jpg,0
image00046.jpg,0
image00047.jpg,0
image00048.jpg,0
image00049.jpg,0
image00050.jpg,0
image00051.jpg,0
image00052.jpg,0
image00053.jpg,0
image00054.jpg,0
image00055.jpg,0
image00056.jpg,0
image00057.jpg,0
image00058.jpg,0
image00059.jpg,0
image00060.jpg,0
image00061.jpg,0
image00062.jpg,0
image00063.jpg,0
image00064.jpg,0
image00065.jpg,0
image00066.jpg,0
image00067.jpg,0
image00068.jpg,0
image00069.jpg,0
image00070.jpg,0
image00071.jpg,0
image00072.jpg,0
image00073.jpg,0
image00074.jpg,0
image00075.jpg,0
image00076.jpg,0
image00077.jpg,0
image00078.jpg,0
image00079.jpg,0
image00080.jpg,0
image00081.jpg,0
image00082.jpg,0
image00083.jpg,0
image00084.jpg,0
image00085.jpg,0
image00086.jpg,0
image00087.jpg,0
image00088.jpg,0
image00089.jpg,0
image00090.jpg,0
image00091.jpg,0
image00092.jpg,0
image00093.jpg,0
image00094.jpg,0
image00095.jpg,0
image00096.jpg,0
image00097.jpg,0
image00098.jpg,0
image00099.jpg,0
image00100.jpg,0
image00101.jpg,0
image00102.jpg,0
image00103.jpg,0
image00104.jpg,0
image00105.jpg,0
image00106.jpg,0
image00107.jpg,0
image00108.jpg,0
image00109.jpg,0
image00110.jpg,0
image00111.jpg,0
image00112.jpg,0
image00113.jpg,0
image00114.jpg,0
image00115.jpg,0
image00116.jpg,0
image00117.jpg,0
image00118.jpg,0
image00119.jpg,0
image00120.jpg,0
image00121.jpg,0
image00122.jpg,0
image00123.jpg,0
image00124.jpg,0
image00125.jpg,0
image00126.jpg,0
image00127.jpg,0
